count,f0,gender,speaker,utterance
115,151.8426035652174,2,KL,h05
155,204.4819802580645,2,DC,h05
103,146.13371349514563,2,KL,h04
135,215.00529407407402,2,DC,h04
149,243.13788791946308,2,JE,su01
89,130.7844333707865,2,KL,d07
179,165.75065251396651,2,DC,sa15
112,144.50489455357143,2,DC,d07
99,111.79847626262622,2,KL,d06
108,136.28844814814815,2,DC,d06
209,166.8514466028708,2,DC,sa14
93,132.61391827956987,2,JK,n18
114,130.34681666666668,2,JK,n19
149,216.1999610738255,2,DC,su13
173,212.82138121387283,2,DC,su12
109,172.64729174311927,2,JE,sa07
140,173.89657764285718,2,JE,sa06
109,128.41187522935786,2,JE,n25
118,182.6047577966102,2,JK,a03
109,128.82258550458715,2,JE,n24
152,139.6712734868421,2,JK,a02
116,131.56565112068967,2,KL,n01
111,123.72156261261259,2,DC,n01
106,137.85828462264152,2,JK,n26
124,183.43340443548385,2,JE,a01
165,129.78412315151513,2,JK,n27
143,223.9403594405595,2,JK,su07
117,228.60826213675213,2,JK,su06
195,169.4074285128205,2,DC,a10
151,153.87299264900665,2,KL,a10
113,144.45699026548672,2,DC,a11
94,130.29517170212765,2,KL,a11
98,245.63734897959182,2,JE,f06
147,225.6746042857143,2,JE,f07
123,137.6831357723577,2,JK,n12
96,153.50487197916667,2,KL,su07
86,123.82593616279068,2,JK,n13
86,212.33914767441863,2,KL,su06
149,143.6160955704698,2,JK,sa01
93,136.17031978494623,2,KL,sa01
152,264.55361644736837,2,JK,f05
127,253.1076516535433,2,JK,f04
150,127.96306226666668,2,JE,n11
130,126.32060923076924,2,JE,n10
191,140.3634577486911,2,JK,d14
226,151.20884026548669,2,JK,d15
162,168.97205796296296,2,JE,h15
215,159.3800295348837,2,JE,h14
159,195.80493603773587,2,JK,a09
147,209.8431285714286,2,JK,a08
127,204.25412937007874,2,DC,su04
120,207.0883433333333,2,DC,su05
152,159.68274013157895,2,JE,sa10
195,166.90326333333334,2,JE,sa11
149,122.89156355704695,2,KL,d10
158,185.96304367088607,2,DC,sa02
157,155.6304847133758,2,DC,d10
109,124.68008137614679,2,KL,d11
139,146.5373568345324,2,DC,d11
104,193.4993605769231,2,DC,sa03
133,115.87237406015038,2,KL,n28
143,121.96238986013987,2,DC,n28
96,111.61126697916666,2,KL,n29
134,122.2900847761194,2,DC,n29
177,154.22773107344636,2,KL,h12
182,209.7338568131868,2,DC,h12
95,169.08594978947366,2,KL,h13
112,215.4021,2,DC,h13
128,208.39092578125,2,DC,f01
98,143.98625163265302,2,KL,f01
156,143.53622846153846,2,JK,d09
141,151.18301737588652,2,JK,d08
135,125.61759348148145,2,JK,n30
107,130.56076271028036,2,KL,n16
112,125.94210749999999,2,DC,n16
103,116.34908572815534,2,KL,n17
136,120.6371519117647,2,DC,n17
129,224.053215503876,2,JE,h08
166,211.78094963855426,2,JE,h09
218,177.78636821100918,2,JK,a14
222,191.35647941441445,2,JK,a15
195,259.99129087179483,2,JK,f12
113,267.3062146017699,2,JK,f13
84,132.00402749999998,2,JE,n06
129,120.9179269767442,2,JE,n07
